distCity,distState,street_address,city,state,shipment_week,Product,count
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,1,Product A,140
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,1,Product B,140
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,1,Product c,160
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,1,Product D,300
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,1,Product E,420
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,2,Product A,120
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,2,Product B,240
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,2,Product c,420
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,2,Product D,140
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,2,Product E,220
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,3,Product A,360
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,3,Product B,360
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,3,Product c,180
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,3,Product D,440
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,3,Product E,360
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,4,Product A,180
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,4,Product B,440
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,4,Product c,80
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,4,Product D,140
Avila Beach,CA,401 N. CENTRAL AVENUE,WASCO,CA,4,Product E,240
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,1,Product A,120
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,1,Product B,340
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,1,Product c,380
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,1,Product D,120
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,1,Product E,160
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,2,Product A,420
Avila Beach,CA,5075 GOSFORD RD,BAKERSFIELD,CA,2,Product B,380
